CO_URF;NO_URF
215200;0215200 - MONTE DOURADO
220101;0220101 - ITACOATIARA
510102;0510102 - CAMACARI
130101;0130101 - ALTO ARAGUAIA
812700;0812700 - SAO SEBASTIAO
1015400;1015400 - PORTO ALEGRE
317800;0317800 - PORTO DE PECEM
910152;0910152 - ANTONINA
1010951;1010951 - ITAQUI
417700;0417700 - AEROPORTO GUARARAPES
210251;0210251 - OBIDOS
920351;0920351 - DIONISIO CERQUEIRA
920205;0920205 - RIO DO SUL
1010955;1010955 - QUARAI
1011000;1011000 - SANTANA DO LIVRAMENTO
910602;0910602 - MARECHAL CANDIDO RONDON
410300;0410300 - PETROLINA
8110000;8110000 - NAO INFORMADO
920251;0920251 - SAO FRANCISCO DO SUL
0;0000000 - NAO INFORMADO
327600;0327600 - PORTO DE SAO LUIS
140251;0140251 - BELA VISTA
145100;0145100 - MUNDO NOVO
811201;0811201 - AMERICANA
217601;0217601 - AEROPORTO INTERNAC. DE BELEM (PA)
210106;0210106 - BREVES
210151;0210151 - BARCARENA
615100;0615100 - IRF/BELO HORIZONTE - MG
140151;0140151 - BELA VISTA
145352;0145352 - PORTO MURTINHO
915200;0915200 - CURITIBA
1011052;1011052 - QUARAI
920600;0920600 - ITAJAI
1015300;1015300 - CHUI
920151;0920151 - IMBITUBA
210400;0210400 - MONTE DOURADO
1010703;1010703 - MONTENEGRO
325100;0325100 - PORTO DE SAO LUIS
1015600;1015600 - SANTANA DO LIVRAMENTO
317600;0317600 - PORTO DE FORTALEZA
925200;0925200 - FLORIANOPOLIS
1010954;1010954 - BARRA DO QUARAI
417800;0417800 - PORTO DE SUAPE
1010104;1010104 - SANTA CRUZ DO SUL
515100;0515100 - ILHEUS
420153;0420153 - AREIA BRANCA
910351;0910351 - SANTO ANTONIO DO SUDOESTE
517600;0517600 - PORTO DE SALVADOR
1011200;1011200 - CHUI
1010500;1010500 - RIO GRANDE
317700;0317700 - AEROPORTO INTERNACIONAL PINTO MARTINS
917601;0917601 - ANTONINA
1011051;1011051 - BAGE
810603;0810603 - CUBATAO
140152;0140152 - PORTO MURTINHO
1011001;1011001 - DOM PEDRITO
925100;0925100 - ITAJAI
910652;0910652 - SANTA HELENA
920153;0920153 - AEROP. INTERNAC. HERCILIO LUZ (SC)
715300;0715300 - ANGRA DOS REIS
710451;0710451 - MACAE
140252;0140252 - PORTO MURTINHO
145200;0145200 - CORUMBA
517601;0517601 - AEROP. INTERN. DOIS DE JULHO (BA)
517700;0517700 - AEROPORTO INTERNACIONAL DE SALVADOR DEP. LUIS EDUARDO
517602;0517602 - PORTO DE ARATU
317601;0317601 - AEROP. INTERN. PINTO MARTINS (CE)
420151;0420151 - AREIA BRANCA
910700;0910700 - PARANAGUA
145300;0145300 - PONTA PORA
917801;0917801 - ANTONINA
220152;0220152 - TABATINGA
915100;0915100 - ANTONINA
910651;0910651 - GUAIRA
715500;0715500 - MACAE
910751;0910751 - ANTONINA
910151;0910151 - SAO JOSE DOS PINHAIS
317602;0317602 - PECEM
910601;0910601 - MEDIANEIRA
1010953;1010953 - SAO BORJA
217600;0217600 - PORTO DE BELEM
1015500;1015500 - CHUI
910600;0910600 - FOZ DO IGUACU
1010900;1010900 - URUGUAIANA
917600;0917600 - PORTO DE PARANAGUA
815300;0815300 - SAO SEBASTIAO
715400;0715400 - RIO DE JANEIRO
415100;0415100 - IRF/RECIFE
1017600;1017600 - AEROPORTO SALGADO FILHO - PORTO ALEGRE
510600;0510600 - ILHEUS
230151;0230151 - BRASILEIA
217700;0217700 - AEROPORTO INTERNACIONAL DE BELEM
925251;0925251 - IMBITUBA
917700;0917700 - AEROPORTO INTERN. AFONSO PENA (PR)
145351;0145351 - BELA VISTA
217602;0217602 - BARCARENA
1010109;1010109 - NAO INFORMADO
910;0000910 - SEFAZ-SC - CONVENIO CONSULTA SISTEMA CARGA
110100;0110100 - BRASILIA
117600;0117600 - AEROPORTO INTERNACIONAL DE BRASILIA
120100;0120100 - GOIANIA
120102;0120102 - CATALAO
120200;0120200 - ANAPOLIS
