"";"Ano";"Mes";"Nome_Item_NCM";"Origem_URF";"Estado";"Pais_destino";"Via";"Quantidade_kg";"Valor_FOB"
"1";2021;3;"Outras carnes de suíno, congeladas";"1017503 - IRF - SÃO BORJA";"PR";"Argentina";"RODOVIARIA";1152407;3063622
"2";2021;3;"Outras carnes de suíno, frescas ou refrigeradas";"0817800 - PORTO DE SANTOS";"SP";"Panamá";"MARITIMA";411;1307
"3";2021;4;"Pernas, pás e pedaços não desossados de suíno, congelados";"0917800 - PORTO DE PARANAGUA";"SP";"Hong Kong";"MARITIMA";21;93
"4";2021;3;"Pernas, pás e pedaços não desossados de suíno, congelados";"0817800 - PORTO DE SANTOS";"SP";"Chipre";"EM MAOS";254;903
"5";2021;5;"Outras carnes de suíno, congeladas";"0727600 - PORTO DE VITORIA";"ES";"Singapura";"MARITIMA";237;1154
"6";2021;1;"Outras carnes de suíno, congeladas";"0817800 - PORTO DE SANTOS";"SP";"Malta";"MARITIMA";1275;5569
"7";2021;5;"Outras carnes de suíno, congeladas";"0817800 - PORTO DE SANTOS";"SP";"Marshall, Ilhas";"MARITIMA";1271;5779
"8";2021;1;"Outras carnes de suíno, congeladas";"0927700 - PORTO DE SAO FRANCISCO DO SUL";"SC";"Bahamas";"MARITIMA";83;429
"9";2021;5;"Outras carnes de suíno, congeladas";"0927700 - PORTO DE SAO FRANCISCO DO SUL";"SC";"Emirados Árabes Unidos";"MARITIMA";56988;181845
"10";2021;1;"Outras carnes de suíno, congeladas";"1017700 - PORTO DE RIO GRANDE";"RS";"Singapura";"MARITIMA";431952;1179683
"11";2021;2;"Outras carnes de suíno, congeladas";"0927800 - ITAJAI";"PR";"Tailândia";"MARITIMA";161952;376536
"12";2021;1;"Outras carnes de suíno, congeladas";"0927700 - PORTO DE SAO FRANCISCO DO SUL";"SC";"China";"MARITIMA";706491;1587512
"13";2021;5;"Carcaças e meias-carcaças de suíno, congeladas";"1017700 - PORTO DE RIO GRANDE";"RS";"Hong Kong";"MARITIMA";40;237
"14";2021;5;"Pernas, pás e pedaços não desossados de suíno, congelados";"0727600 - PORTO DE VITORIA";"ES";"Singapura";"MARITIMA";152;636
"15";2021;2;"Outras carnes de suíno, congeladas";"0927800 - ITAJAI";"PR";"Angola";"MARITIMA";68795;24787
"16";2021;3;"Outras carnes de suíno, congeladas";"0317903 - IRF SAO LUIS";"MA";"Libéria";"MARITIMA";150;741
"17";2021;1;"Outras carnes de suíno, congeladas";"1017701 - IRF - CHUÍ";"PR";"Uruguai";"RODOVIARIA";782136;1817758
"18";2021;3;"Outras carnes de suíno, congeladas";"0927800 - ITAJAI";"SC";"Geórgia";"MARITIMA";285258;696118
"19";2021;2;"Outras carnes de suíno, congeladas";"0927800 - ITAJAI";"PR";"Hong Kong";"MARITIMA";590302;1307165
"20";2021;5;"Outras carnes de suíno, frescas ou refrigeradas";"0817800 - PORTO DE SANTOS";"SP";"Libéria";"MARITIMA";92;420
"21";2021;2;"Pernas, pás e pedaços não desossados de suíno, congelados";"0727600 - PORTO DE VITORIA";"ES";"Singapura";"MARITIMA";205;887
